Id,SalePrice
1461,114205.41122389266
1462,155078.3992858079
1463,183617.4567389941
1464,197580.5574438941
1465,187952.43360606587
1466,164811.24063381532
1467,177742.281006855
1468,159198.2461282906
1469,189248.86624864826
1470,114891.11708393731
1471,203095.5945504162
1472,94960.61041374359
1473,93861.7996445768
1474,140538.58826870672
1475,107532.95068114936
1476,355288.8346164547
1477,249275.8845308307
1478,267800.3105927667
1479,262016.40581019365
1480,453746.5682962239
1481,330038.83642683714
1482,214299.06110470448
1483,179482.7485058766
1484,169655.2896232822
1485,191092.0895888819
1486,194084.82463281188
1487,319988.89760099724
1488,225875.90551758278
1489,191112.26898346277
1490,240230.88316380192
1491,196833.98367326884
1492,98255.5339190429
1493,179697.2009244916
1494,280019.1270936459
1495,284837.29495230294
1496,238843.3556164916
1497,178299.69395680097
1498,161265.9637276519
1499,155742.0430761276
1500,151884.95659308144
1501,171023.638304811
1502,146903.03645218234
1503,294421.2656829773
1504,242126.55395661775
1505,224983.73618534702
1506,195537.78253476307
1507,252886.0146756601
1508,204454.90416212464
1509,165258.90214884863
1510,142385.19204372072
1511,144403.90849310427
1512,172380.23834410266
1513,142052.72088179734
1514,164469.06145200465
1515,193087.50610247027
1516,160363.05902101815
1517,166227.0062846322
1518,132026.39829857228
1519,203706.74876727382
1520,129036.0670074353
1521,132926.48766356285
1522,180122.72172741132
1523,107911.58874588928
1524,122838.00447827768
1525,120786.08980421202
1526,108572.5876510956
1527,107533.99475481275
1528,137866.8176093596
1529,145890.62507371916
1530,185224.9390038918
1531,100262.48924830876
1532,101481.78306656843
1533,155895.1437930733
1534,123450.4480104733
1535,164092.61724690246
1536,115419.6881238035
1537,66946.4627790388
1538,152518.46437345698
1539,192094.756016811
1540,104448.01955757997
1541,142618.49275164786
1542,143698.38118391347
1543,190014.38422798042
1544,82781.07570095752
1545,111543.2243686796
1546,134425.645938044
1547,121220.21984782229
1548,131426.77074341115
1549,118250.94656216596
1550,131496.10481469161
1551,115441.97575527626
1552,141392.11396204983
1553,147024.57461100348
